"","hitting_player","shots_played","agg"
"1","Abedallah Shelbayh",724,4.98342541436464
"2","Adrian Andreev",739,5.25710419485792
"3","Adrian Mannarino",9211,4.96406470524373
"4","Albert Ramos",5219,4.92431500287412
"5","Alejandro Davidovich Fokina",14078,4.85331723256145
"6","Alejandro Tabilo",1450,4.90344827586207
"7","Aleksandar Kovacevic",1245,4.87550200803213
"8","Aleksandar Vukic",2889,4.9300796123226
"9","Aleksandre Metreveli",429,5.05827505827506
"10","Alex Bolt",313,5
"11","Alex De Minaur",17410,4.87834577828833
"12","Alex Michelsen",684,4.71783625730994
"13","Alex Molcan",4854,4.87391841779975
"14","Alexander Blockx",685,4.79270072992701
"15","Alexander Bublik",12384,5.14898255813953
"16","Alexander Cozbinov",864,4.81828703703704
"17","Alexander Ritschard",271,4.91512915129151
"18","Alexander Shevchenko",2324,4.9302925989673
"19","Alexander Shevchenko  ",160,4.98125
"20","Alexander Zverev",25809,5.06563601844318
"21","Alexandre Muller",2176,4.92371323529412
"22","Alexei Popyrin",2906,4.98072952512044
"23","Alexis Galarneau",753,4.88446215139442
"24","Andrea Pellegrino",269,4.75092936802974
"25","Andrea Vavassori",794,4.94962216624685
"26","Andreas Seppi",892,4.81390134529148
"27","Andrej Martin",497,5.02213279678068
"28","Andrey Rublev",28651,4.97232208299884
"29","Andy Murray",19741,4.89230535433869
"30","Antoine Escoffier",577,4.90467937608319
"31","Aristotelis Thanos",205,4.90731707317073
"32","Arklon Huertas Del Pino",616,4.43831168831169
"33","Arthur Cazaux",322,4.98447204968944
"34","Arthur Fery",415,4.91325301204819
"35","Arthur Fils",1098,5.15300546448087
"36","Arthur Rinderknech",1849,5.12276906435911
"37","Aslan Karatsev",10056,4.92253381066031
"38","Attila Balazs",773,4.88615782664942
"39","Ben Shelton",2686,4.94341027550261
"40","Benjamin Bonzi",2328,5.00515463917526
"41","Benoit Paire",4617,4.93264024258176
"42","Bernabe Zapata Miralles",2900,4.85896551724138
